"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2010","0.57","0.57","0.58","0.57","34.21M","0.00%"
"Jun 30, 2010","0.57","0.57","0.57","0.56","27.42M","0.00%"
"Jun 29, 2010","0.57","0.57","0.58","0.57","55.29M","0.00%"
"Jun 28, 2010","0.57","0.57","0.57","0.56","25.86M","1.79%"
"Jun 25, 2010","0.56","0.54","0.56","0.54","12.48M","3.70%"
"Jun 24, 2010","0.54","0.54","0.54","0.54","23.19M","0.00%"
"Jun 23, 2010","0.54","0.54","0.54","0.54","13.68M","0.00%"
"Jun 22, 2010","0.54","0.55","0.55","0.54","13.55M","0.00%"
"Jun 21, 2010","0.54","0.54","0.55","0.54","36.67M","0.00%"
"Jun 18, 2010","0.54","0.54","0.54","0.54","17.19M","1.89%"
"Jun 17, 2010","0.53","0.54","0.54","0.53","32.01M","0.00%"
"Jun 16, 2010","0.53","0.53","0.53","0.53","8.46M","0.00%"
"Jun 15, 2010","0.53","0.53","0.53","0.53","21.79M","0.00%"
